WEO Subject Code;Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
GGXCNL_NGDP;Algeria;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;3.185;3.801;0.751;-5.916;-1.865;0.587;3.912;2.930;-3.576;-1.895;9.701;3.740;1.164;4.876;5.259;13.629;13.945;6.133;9.055;-5.466;-0.388;-0.436;-4.112;-0.812;-6.194;-12.530
BCA_NGDPD;Algeria;0.571;-0.472;-0.973;-0.179;0.144;1.660;-3.623;0.223;-3.678;-1.965;2.181;5.121;2.621;1.589;-4.334;-5.318;2.658;7.161;-1.888;0.041;16.699;12.896;7.680;12.979;13.028;20.526;24.738;22.671;20.146;0.300;7.541;9.931;5.914;0.400;-4.339;-15.686
NGDP_RPCH;Angola;2.406;-4.400;0.000;4.200;6.000;3.500;2.900;4.083;6.129;0.042;-3.450;0.991;-5.838;-23.983;1.339;15.000;20.000;5.500;--;3.240;3.012;3.142;14.532;5.248;10.879;18.262;20.735;22.593;13.817;2.413;3.408;3.919;5.155;6.800;4.222;4.497
PCPIPCH;Angola;46.708;1.391;1.833;1.833;1.833;1.833;1.833;1.833;1.833;1.833;1.833;85.265;299.097;1,379.476;949.771;2,672.230;4,146.010;221.492;107.429;248.248;325.029;152.586;108.893;98.342;43.559;22.961;13.305;12.249;12.465;13.721;14.480;13.484;10.285;8.782;7.296;8.394
GGXCNL_NGDP;Angola;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;2.800;3.885;-3.110;-5.881;1.419;9.389;11.811;4.656;-4.455;-7.355;3.450;8.677;4.586;-0.335;-2.849;-4.659
BCA_NGDPD;Angola;1.176;-3.297;-8.904;-6.208;-2.784;2.580;-4.282;5.526;-5.345;-1.293;-2.096;-5.322;-8.750;-10.968;-7.657;-5.327;45.718;-10.530;-26.250;-25.428;7.967;-14.648;-1.206;-5.071;3.464;18.198;25.580;17.504;8.546;-10.030;9.101;12.567;12.011;6.723;-0.848;-6.346
NGDP_RPCH;Antigua and Barbuda;7.619;3.585;-0.958;5.791;9.842;7.934;8.903;8.979;5.667;6.829;2.277;2.728;0.848;5.081;6.172;-4.951;6.072;5.558;4.928;4.933;3.270;-4.404;2.534;5.706;3.236;7.214;12.715;7.070;1.542;-10.666;-8.528;-1.867;3.609;1.817;2.369;1.930
PCPIPCH;Antigua and Barbuda;18.999;11.465;4.170;2.346;3.844;0.996;0.500;3.602;6.800;4.362;6.591;4.518;3.000;3.100;6.485;2.737;2.965;0.362;3.262;1.135;-0.162;1.935;2.408;1.994;2.030;2.099;1.788;1.416;5.334;-0.550;3.370;3.457;3.377;1.059;1.089;1.193
GGXCNL_NGDP;Antigua and Barbuda;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.128;-4.068;-0.850;-2.572;-4.585;-4.114;-1.714;0.000;-6.402;-3.212;-13.692;-14.253;-19.325;-19.866;-12.292;-15.211;-8.793;-5.036;-5.732;-18.235;-0.254;-3.595;-1.188;-4.185;-2.886;-10.548
BCA_NGDPD;Antigua and Barbuda;-14.473;-25.734;-25.552;-5.031;-0.244;-12.089;-46.128;-23.244;-22.527;-18.834;-6.705;-6.378;-1.967;2.800;-1.074;-0.089;-9.310;-6.923;-6.392;-7.855;-8.519;-7.353;-10.268;-11.614;-10.586;-17.194;-25.703;-29.902;-26.658;-14.011;-14.716;-10.392;-14.570;-14.636;-14.545;-10.726
NGDP_RPCH;Argentina;0.700;-5.744;-3.149;3.733;2.000;-6.951;7.146;2.529;-1.957;-7.007;-1.338;10.498;10.299;6.251;5.836;-2.845;5.527;8.111;3.850;-3.385;-0.789;-4.409;-10.895;8.955;8.911;9.226;8.375;7.966;3.075;0.050;9.452;8.386;0.802;2.885;0.469;-0.311
PCPIPCH;Argentina;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-1.065;25.869;13.443;4.416;9.642;10.898;8.830;8.585;6.270;10.461;9.775;10.043;10.619;n/a;18.648
GGXCNL_NGDP;Argentina;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-1.940;-2.628;-1.714;-1.707;-3.460;-3.019;-4.925;-1.229;1.166;3.409;2.007;1.759;0.301;0.839;-1.584;0.006;-1.949;-2.359;-1.997;-2.704;-4.087
BCA_NGDPD;Argentina;-1.030;-2.818;-2.894;-1.959;-1.787;-0.903;-2.255;-3.257;-1.032;1.121;2.760;-0.189;-2.364;-2.844;-3.567;-1.654;-2.075;-3.460;-4.047;-3.513;-2.635;-1.177;7.446;5.290;1.387;2.028;2.659;1.996;1.454;1.968;-0.405;-0.717;-0.243;-0.805;-0.866;-1.715
NGDP_RPCH;Armenia;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-14.054;5.400;8.033;5.169;3.387;6.271;3.170;5.853;9.468;14.807;14.052;10.473;14.113;13.198;13.749;6.948;-14.150;2.200;4.700;7.134;3.533;3.432;-0.980
PCPIPCH;Armenia;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;3,731.800;5,273.449;176.743;18.653;14.046;8.673;0.648;-0.791;3.146;1.071;4.704;6.958;0.648;2.955;4.553;9.018;3.544;7.274;7.653;2.513;5.788;3.111;6.400
GGXCNL_NGDP;Armenia;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-1.976;-1.950;-2.334;-1.757;-7.686;-4.979;-2.876;-1.594;-1.698;-2.092;-4.478
BCA_NGDPD;Armenia;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-46.280;-5.993;3.804;-16.972;-18.202;-19.315;-21.993;-16.936;-15.781;-10.440;-6.220;-6.181;-2.204;-2.528;-3.870;-8.516;-14.969;-17.581;-14.235;-11.078;-11.085;-8.046;-9.233;-8.645
NGDP_RPCH;Australia;2.894;4.127;0.063;-0.474;6.346;5.456;2.448;4.893;4.253;4.569;1.503;-1.113;2.652;3.949;4.888;2.955;4.298;4.164;4.866;4.244;3.086;2.576;3.996;3.021;4.036;3.213;2.654;4.520;2.675;1.565;2.259;2.721;3.600;2.057;2.709;2.845
PCPIPCH;Australia;10.136;9.488;11.352;10.039;3.960;6.735;9.050;8.533;7.216;7.534;7.333;3.177;1.012;1.754;1.970;4.628;2.615;0.225;0.860;1.483;4.457;4.407;2.982;2.733;2.343;2.692;3.555;2.328;4.350;1.771;2.918;3.304;1.763;2.450;2.488;2.012
GGXCNL_NGDP;Australia;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.997;1.429;0.285;-2.231;-4.171;-4.147;-3.227;-2.031;-0.887;0.063;0.342;1.281;1.853;-0.037;0.143;0.950;1.327;1.712;1.775;1.476;-1.101;-4.559;-5.108;-4.476;-3.384;-3.046;-3.578;-3.306
BCA_NGDPD;Australia;-2.369;-4.059;-4.109;-3.149;-4.150;-4.865;-5.052;-3.392;-3.803;-6.000;-4.841;-3.282;-3.260;-2.998;-4.470;-4.925;-3.391;-2.837;-4.691;-5.296;-3.912;-2.078;-3.707;-5.361;-6.254;-5.918;-5.799;-6.692;-4.877;-4.615;-3.558;-2.924;-4.262;-3.326;-2.761;-4.043
NGDP_RPCH;Austria;2.314;-0.099;1.908;2.804;0.332;2.243;2.341;1.681;0.961;3.887;4.346;3.442;2.094;0.527;2.402;2.668;2.398;2.205;3.560;3.590;3.368;1.351;1.656;0.756;2.706;2.141;3.351;3.622;1.547;-3.799;1.880;3.071;0.884;0.228;0.340;0.856
PCPIPCH;Austria;6.325;6.807;5.440;3.335;5.665;3.190;1.737;1.408;1.868;2.249;2.764;3.118;3.425;3.238;2.710;1.601;1.793;1.157;0.824;0.515;1.959;2.295;1.700;1.296;1.950;2.108;1.690;2.203;3.223;0.401;1.690;3.552;2.575;2.117;1.458;1.112
GGXCNL_NGDP;Austria;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-3.399;-3.074;-2.626;-2.997;-2.206;-4.579;-5.042;-6.152;-4.362;-2.393;-2.729;-2.601;-2.053;-0.621;-1.348;-1.736;-4.771;-2.515;-2.500;-1.317;-1.464;-5.325;-4.457;-2.648;-2.292;-1.480;-3.334;-1.717
BCA_NGDPD;Austria;-5.116;-3.781;1.006;0.390;-0.266;-0.231;0.210;-0.216;-0.181;0.187;0.700;0.035;-0.386;-0.533;-1.470;-2.914;-2.831;-2.399;-1.612;-1.609;-0.680;-0.767;2.556;1.602;2.023;1.981;2.702;3.408;4.685;2.582;3.368;1.539;2.324;1.036;1.823;1.882
NGDP_RPCH;Azerbaijan;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-23.098;-19.673;-13.027;2.531;8.884;6.007;11.396;6.227;6.486;8.137;10.478;10.200;26.400;34.500;25.000;10.800;9.300;4.959;0.094;2.163;5.803;2.793;0.631
PCPIPCH;Azerbaijan;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1,129.700;1,664.000;489.812;19.795;3.674;-0.773;-8.525;1.805;1.547;2.771;2.234;6.709;9.680;8.374;16.595;20.820;1.560;5.666;7.869;1.023;2.431;1.351;7.883
GGXCNL_NGDP;Azerbaijan;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.388;0.006;-0.369;-1.768;0.962;2.431;1.150;2.294;19.988;6.573;13.978;11.579;3.797;1.426;0.449;-5.701
BCA_NGDPD;Azerbaijan;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-16.598;-12.199;-5.461;-13.165;-25.894;-23.110;-31.883;-13.090;-3.539;-0.906;-12.329;-27.775;-29.824;1.263;17.632;27.256;35.477;22.981;28.035;26.453;21.814;16.996;15.317;5.319
NGDP_RPCH;The Bahamas;7.100;-2.900;6.300;6.800;2.400;4.100;2.600;3.700;2.255;2.300;1.052;-5.077;-3.381;0.308;2.700;3.137;4.743;11.700;4.720;7.144;4.149;2.626;2.705;-1.265;0.883;3.395;2.517;1.446;-2.324;-4.175;1.539;1.064;1.033;0.667;1.286;2.336
PCPIPCH;The Bahamas;12.231;11.046;6.101;4.000;3.966;4.624;5.414;5.994;4.051;5.405;4.628;7.030;5.773;2.742;1.381;2.130;1.421;0.536;1.411;1.213;1.655;2.362;1.498;2.698;1.252;2.111;2.084;2.524;4.660;1.936;1.342;3.204;1.971;0.354;1.191;2.310
GGXCNL_NGDP;The Bahamas;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-3.942;-2.611;-2.604;-1.501;-0.729;-1.377;-3.468;-1.486;-1.330;-0.623;-0.289;-2.531;-2.714;-2.366;-2.364;-1.352;-2.247;-1.821;-4.497;-4.317;-4.680;-5.581;-6.565;-4.237;-3.755
BCA_NGDPD;The Bahamas;-0.803;-4.188;-2.954;-1.583;-1.826;-1.389;-1.049;-1.611;-1.881;-2.399;-1.177;-1.729;2.212;3.098;-0.809;-3.637;-6.315;-13.411;-18.607;-4.016;-6.978;-9.532;-4.547;-4.859;-2.773;-8.894;-17.716;-11.471;-10.571;-10.339;-10.073;-15.038;-18.307;-17.742;-21.614;-12.368
NGDP_RPCH;Bahrain;7.494;2.777;6.406;6.994;4.186;-0.930;0.484;-1.222;5.952;4.409;7.275;2.286;7.123;7.604;3.212;1.923;3.250;2.348;4.849;5.972;7.018;2.491;3.349;6.296;6.981;6.769;6.469;8.292;6.237;2.545;4.337;2.100;3.363;5.323;4.749;2.667
PCPIPCH;Bahrain;3.800;11.400;8.700;3.200;0.000;-2.400;-2.500;-1.700;0.200;1.200;-0.910;0.899;-0.302;2.599;3.999;3.139;-0.185;4.602;-0.418;-1.259;-0.730;-1.175;-0.496;1.679;2.248;2.618;2.041;3.252;3.533;2.785;1.970;-0.415;2.814;3.313;2.496;2.119
GGXCNL_NGDP;Bahrain;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-11.614;-8.114;-10.146;-4.629;-6.745;-4.158;0.350;-6.658;-3.563;-5.052;8.660;0.745;-3.409;-1.775;0.249;2.911;2.338;1.586;4.257;-5.586;-5.834;-1.468;-3.165;-4.329;-5.748;-9.882
BCA_NGDPD;Bahrain;5.474;11.299;10.648;2.507;5.138;0.968;-2.195;-5.923;4.571;-4.283;1.407;-11.564;-15.189;-5.645;-3.977;3.499;3.690;-0.424;-11.128;-0.295;9.336;2.460;-0.579;1.775;3.608;9.245;11.828;13.381;8.778;2.442;3.000;11.183;7.245;7.809;5.317;-2.064
NGDP_RPCH;Bangladesh;3.050;3.076;3.206;4.610;4.177;3.744;3.985;2.931;2.388;4.298;4.603;4.203;4.801;4.324;4.513;4.770;5.013;5.304;5.044;5.421;5.600;4.834;4.845;5.776;6.108;6.302;6.851;6.518;5.515;5.315;6.030;6.494;6.259;6.066;6.108;6.306
PCPIPCH;Bangladesh;0.000;14.545;12.875;9.531;10.414;10.465;10.175;10.828;9.674;8.734;10.522;8.285;3.624;2.979;6.150;10.117;2.455;4.959;8.648;6.179;2.483;1.908;3.719;5.361;6.103;7.040;6.770;9.109;8.900;4.914;9.365;11.464;6.229;7.539;7.009;6.400
GGXCNL_NGDP;Bangladesh;-6.999;-6.114;-6.660;-6.802;-5.456;-4.996;-5.462;-5.188;-4.881;-5.083;-0.181;0.521;0.419;0.502;0.038;-0.444;-2.375;-2.284;-2.571;-1.564;-2.918;-4.080;-2.738;-2.343;-2.624;-2.853;-2.573;-2.233;-4.031;-3.210;-2.675;-3.589;-2.979;-3.381;-3.006;-3.162
BCA_NGDPD;Bangladesh;-1.099;-3.119;-3.275;-1.896;-2.586;-3.017;-2.241;-1.724;-3.792;-3.706;-2.672;-0.948;-0.345;-0.345;-0.776;-1.982;-2.069;-1.322;-0.905;-0.754;-1.241;-0.786;0.290;0.278;-0.278;0.011;1.009;0.721;1.217;2.445;0.415;-1.020;0.685;1.154;-0.071;-0.551
NGDP_RPCH;Barbados;4.371;-1.900;-4.900;0.500;3.600;1.100;5.100;2.600;3.500;3.600;-3.300;-3.900;-5.700;0.800;2.000;2.023;3.966;4.740;3.740;0.326;2.305;-2.550;0.673;1.973;1.433;3.997;5.707;1.671;0.343;-4.149;0.255;0.763;0.000;0.000;-0.300;0.829
PCPIPCH;Barbados;18.498;14.589;10.287;5.275;4.648;4.858;0.199;3.567;4.719;6.334;3.036;6.300;5.996;1.184;0.700;1.870;2.402;7.670;-1.230;1.525;0.834;2.579;0.393;1.566;1.430;6.054;7.340;4.016;8.105;3.718;5.748;9.426;4.539;1.823;1.868;1.338
GGXCNL_NGDP;Barbados;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.819;0.450;-1.506;-2.893;-0.358;0.988;-3.154;0.084;-3.821;-1.999;-0.148;-3.248;-0.319;-3.004;-3.584;-6.373;-7.854;-3.605;-8.367;-12.869;-8.963;-7.206
BCA_NGDPD;Barbados;-2.672;-11.255;-3.554;-4.152;0.827;0.332;-1.028;-3.127;0.129;-0.131;-1.856;-1.162;7.426;3.329;6.474;2.559;3.650;-1.382;-2.968;-4.495;-3.581;-3.658;-5.103;-3.637;-7.582;-10.654;-8.174;-5.396;-10.588;-6.740;-5.804;-12.813;-9.319;-9.255;-9.064;-5.062
NGDP_RPCH;Belarus;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-7.600;-11.700;-11.084;2.671;11.376;8.540;3.276;5.726;4.715;5.044;6.974;11.438;9.406;9.984;8.688;10.293;0.143;7.741;5.544;1.731;1.024;1.588;-2.315
PCPIPCH;Belarus;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1,190.316;2,220.897;709.297;52.688;63.820;73.018;293.733;168.601;61.133;42.568;28.398;18.094;10.336;6.992;8.429;14.828;12.950;7.743;53.228;59.218;18.303;18.107;22.079
GGXCNL_NGDP;Belarus;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-0.061;0.950;0.616;-0.609;-0.757;2.451;1.550;1.915;1.206;1.519;1.897;-0.379;-0.462;4.239;1.677;-0.931;0.135;-2.991
BCA_NGDPD;Belarus;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;5.390;-11.880;-9.144;-13.544;-3.558;-6.095;-6.678;-1.596;-3.248;-3.244;-2.287;-2.391;-5.157;1.442;-3.919;-6.714;-8.211;-12.554;-14.990;-8.458;-2.927;-10.489;-6.099;-6.958
NGDP_RPCH;Belgium;4.444;-0.279;0.595;0.312;2.466;1.652;1.823;2.307;4.723;3.469;3.137;1.833;1.531;-0.962;3.227;2.385;1.551;3.743;2.006;3.716;3.550;0.924;1.559;0.890;3.434;1.894;2.630;3.000;0.953;-2.619;2.501;1.638;0.095;0.275;1.043;1.341
PCPIPCH;Belgium;6.656;7.626;8.723;7.663;6.348;4.868;1.296;1.554;1.162;3.105;3.453;3.167;2.259;2.484;2.393;1.269;1.776;1.497;0.912;1.130;2.678;2.437;1.553;1.508;1.860;2.534;2.335;1.815;4.492;-0.009;2.332;3.355;2.624;1.196;0.544;0.058
GGXCNL_NGDP;Belgium;-9.607;-15.818;-12.597;-14.831;-11.061;-10.257;-10.145;-8.027;-7.403;-7.712;-6.898;-7.568;-8.307;-7.604;-5.214;-4.445;-3.951;-2.303;-0.987;-0.555;-0.089;0.164;0.057;-1.751;-0.191;-2.607;0.249;0.045;-1.087;-5.464;-3.976;-3.916;-4.101;-2.900;-3.189;-2.884
BCA_NGDPD;Belgium;-3.984;-4.079;-2.887;-0.582;-0.067;0.796;2.612;1.919;2.268;2.247;1.810;2.310;2.902;5.124;5.260;5.318;4.926;5.441;5.095;7.719;3.946;3.323;7.403;6.290;5.890;4.600;4.353;4.252;-0.996;-1.073;1.761;-1.070;-0.727;-0.229;1.629;2.261
NGDP_RPCH;Belize;5.013;0.214;-7.551;6.076;11.332;-1.419;7.275;21.997;10.861;15.474;11.209;11.465;12.040;6.270;0.159;0.658;1.428;3.545;3.741;8.779;13.020;5.016;5.121;9.326;4.648;2.971;4.697;1.210;3.849;0.297;3.084;2.098;3.262;1.526;3.381;2.000
PCPIPCH;Belize;7.051;11.224;6.839;4.996;3.383;4.153;0.794;2.021;5.321;0.000;2.058;3.245;2.358;1.491;2.569;2.890;6.425;1.026;-0.847;-1.207;0.614;1.149;2.195;2.621;3.067;3.651;4.240;2.318;6.394;-1.104;0.918;1.695;1.208;0.510;0.925;0.546
GGXCNL_NGDP;Belize;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-1.843;-2.687;-4.131;-7.745;-9.035;-9.558;-8.951;-8.559;-8.832;-3.530;-3.874;-0.678;0.379;-1.210;-1.664;-1.051;-0.524;-1.728;-2.633;-2.483
BCA_NGDPD;Belize;-2.148;-2.620;-9.707;-6.561;-2.513;4.326;5.244;3.527;-0.826;-5.246;3.726;-5.803;-5.521;-8.666;-6.899;-2.782;-1.036;-4.879;-8.688;-9.940;-19.418;-21.834;-17.728;-18.608;-14.645;-13.572;-2.085;-4.036;-10.578;-4.859;-2.435;-1.067;-1.209;-4.437;-5.725;-4.544
NGDP_RPCH;Benin;9.255;1.929;1.682;-2.000;0.400;4.327;2.748;-2.074;3.428;-2.849;8.976;4.226;2.958;5.836;2.020;6.045;4.324;5.735;3.961;5.341;4.862;6.196;4.442;3.951;3.082;2.865;3.752;4.626;5.018;2.658;2.552;3.325;5.392;5.645;5.475;5.500
PCPIPCH;Benin;9.596;0.795;4.059;-6.067;10.265;1.151;0.414;-1.339;3.445;-0.202;1.112;2.100;5.900;0.445;38.535;14.458;4.917;3.803;5.755;0.350;4.202;3.981;2.422;1.507;0.883;5.364;3.787;1.294;7.403;0.899;2.179;2.736;6.743;0.969;-0.996;0.706
GGXCNL_NGDP;Benin;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;-7.180;-6.819;-6.709;-4.123;-6.166;-7.002;-4.091;-3.129;-0.729;-0.576;-5.495;-4.791;-4.952;-1.608;-1.075;-2.295;-0.219;0.329;-0.060;-3.301;-0.400;-1.436;-0.318;-2.056;-1.940;-2.498
BCA_NGDPD;Benin;-6.385;-23.128;-28.532;-15.929;-5.003;-4.164;-6.360;-5.792;-7.406;-1.641;-2.034;-2.638;-4.335;-4.186;-2.477;-6.091;-3.920;-7.012;-5.427;-7.252;-5.249;-3.997;-7.301;-8.440;-6.702;-6.499;-4.943;-10.171;-8.082;-8.932;-8.743;-7.803;-8.366;-15.891;-8.487;-11.605
NGDP_RPCH;Bhutan;4.995;13.589;8.195;7.337;7.616;4.349;7.954;20.229;15.079;6.194;9.098;4.896;2.083;3.192;3.511;6.037;6.194;5.397;5.570;6.866;6.477;6.740;9.516;9.118;6.748;6.527;6.981;12.571;10.752;5.722;9.327;10.069;6.507;4.952;6.353;7.557
PCPIPCH;Bhutan;12.504;4.967;9.918;14.156;12.074;4.368;5.952;8.075;8.284;9.400;9.415;11.195;5.400;13.575;5.907;8.196;9.318;7.850;7.350;10.650;4.050;4.000;2.927;2.068;4.243;4.822;4.930;5.246;6.300;7.127;4.826;8.552;10.115;8.655;7.703;6.261
GGXCNL_NGDP;Bhutan;n/a;-4.227;0.754;-1.488;1.735;-10.032;-4.130;-1.121;0.875;-11.093;-7.918;-0.849;-4.003;4.505;-0.568;1.653;2.233;-2.422;0.979;3.720;-1.481;-13.242;-4.955;-10.497;1.829;-7.221;-1.154;0.638;0.253;-0.488;1.646;-2.110;-1.252;-3.993;-3.801;-2.363
BCA_NGDPD;Bhutan;11.396;3.529;-49.232;-50.460;-58.228;-46.593;-49.121;-36.268;-21.576;-27.079;-9.916;-10.139;-29.479;-17.568;-13.477;17.308;13.800;5.200;9.586;2.178;-8.976;-8.351;-15.688;-24.296;-18.618;-31.354;-4.354;14.599;-2.230;-1.985;-10.295;-23.689;-17.615;-22.108;-21.946;-26.320
NGDP_RPCH;Bolivia;0.610;0.300;-3.939;-4.042;-0.201;-1.676;-2.574;2.463;2.910;3.790;4.636;5.267;1.646;4.269;4.667;4.678;4.361;4.954;5.029;0.427;2.508;1.684;2.486;2.711;4.173;4.421;4.797;4.564;6.148;3.357;4.127;5.174;5.176;6.775;5.400;4.300
PCPIPCH;Bolivia;47.059;32.134;123.555;275.579;1,281.347;11,749.630;273.350;14.579;16.002;15.174;17.120;21.444;12.958;8.526;7.875;10.192;12.430;4.709;7.674;2.161;4.601;1.596;0.923;3.338;4.437;5.400;4.300;6.656;14.009;3.346;2.502;9.883;4.519;5.735;5.765;5.097
GGXCNL_NGDP;Bolivia;n/a;-9.648;-15.899;-19.799;-25.400;-9.800;-2.700;-7.700;-6.500;-5.500;-4.400;-4.200;-4.400;-6.100;-3.000;-1.817;-1.900;-3.281;-5.100;-3.837;-3.728;-6.820;-8.788;-7.875;-5.543;-2.245;4.470;1.741;3.569;0.014;1.666;0.832;1.755;0.651;-3.248;-4.459
BCA_NGDPD;Bolivia;-0.200;-8.102;-3.400;-2.800;-2.000;-7.300;-7.600;-9.270;-2.900;0.700;-4.021;-4.781;-7.197;-7.308;-3.989;-5.005;-4.511;-6.986;-7.151;-4.843;-5.324;-3.360;-4.420;1.042;3.694;5.863;11.225;11.396;11.859;4.270;3.869;0.318;8.284;3.283;0.733;-2.765
